from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
U454Z301,U454Z3P,1,,1301_85_181222,221_521_181027
U28Z2P,U28Z2P,1,,163_848_190316,221_632_190316
U28Z1P,U28Z1P,1,,163_685_181027,221_522_181027
U454Z301,U454Z3P,1,,1301_235_181209,221_522_181027
U28Z2P,U28Z2P,1,,163_849_190316,221_633_190316
U28Z1P,U28Z1P,1,,163_686_181027,221_523_181027
U454Z301,U454Z3P,1,,1301_98_180501,221_523_181027
U28Z2P,U28Z2P,1,,163_850_190316,221_586_190316
U28Z1P,U28Z1P,1,,163_687_181027,221_524_181027
U454Z301,U454Z3P,1,,1301_240_181209,221_524_181027
U28Z2P,U28Z2P,1,,163_787_190311,221_587_190316
U28Z1P,U28Z1P,1,,163_326_180928,221_200_181027
U454Z301,U454Z3P,1,,1301_251_181218,221_200_181027
U28Z2P,U28Z2P,1,,163_788_190311,221_588_190316
U28Z1P,U28Z1P,1,,163_328_180928,221_201_181027
U454Z301,U454Z3P,1,,1301_15_180430,221_201_181027
U28Z1P,U28Z1P,1,,163_703_181117,221_528_181117
U336Z2P,U336Z2P,1,,209_531_181209,226_73_190330
U336Z2P,U336Z2P,1,,209_533_181209,226_75_190330
U336Z2P,U336Z2P,1,,209_527_181209,226_77_190330
U336Z2P,U336Z2P,1,,209_539_181209,226_79_190330
U336Z2P,U336Z2P,1,,209_535_181209,226_81_190330
U336Z2P,U336Z2P,1,,209_529_181209,226_83_190330
U336Z2P,U336Z2P,1,,209_541_181209,226_85_190330
U336Z2P,U336Z2P,1,,209_537_181209,226_53_190325
U336Z2P,U336Z2P,1,,209_537_181210,226_53_190325
U336Z2P,U336Z2P,1,,209_524_181209,226_90_190330
U336Z2P,U336Z2P,1,,209_526_181209,226_92_190330
U336Z2P,U336Z2P,1,,209_538_181209,226_94_190330
U336Z2P,U336Z2P,1,,209_534_181209,226_96_190330
U336Z2P,U336Z2P,1,,209_528_181209,226_98_190330
U336Z2P,U336Z2P,1,,209_540_181209,226_100_190330
